"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"179","Middle School Special Education Teacher",2024-08-09,"Teacher","Jackson Hole Middle School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education","Special Education"
"180","High School Special Education Teacher",2024-08-09,"Teacher","Jackson Hole High School","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Special Education","Special Education"
"181","Early Education Teacher, Birth to age 3",2024-08-09,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"182","Early Education Teacher, Ages 3-5",2024-08-09,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Early Childhood Education","Early Childhood"
"183","Early Education Teacher, Part Time",2024-08-09,"Teacher","TCSD Cubs","https://www.applitrack.com/tcsd/onlineapp/default.aspx?all=1","Teton County School District 1","Uncategorized","Other"
"184","Elementary Teacher",2024-08-09,"Teacher","District Wide","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Elementary Education","Elementary"
"185","Secondary Social Studies Teacher",2024-08-09,"Teacher","Davis Middle School","https://www.applitrack.com/uinta/onlineapp/jobpostings/view.asp?all=1","Uinta County School District 1","Social Studies Education","Secondary Social Studies"
"186","Instructional Teacher Assistant",2024-08-09,"Teacher","BUFFALO RIDGE ELEMENTARY SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"187","ESL (English as a Second Language) Teacher Assistant",2024-08-09,"Teacher","WRIGHT JR./SR. HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Elementary Education","Elementary"
"188","Title I Teacher Assistant",2024-08-09,"Teacher","SUNFLOWER ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"189","Title I Teacher Assistant",2024-08-09,"Teacher","ROZET ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"190","Math Teacher",2024-08-09,"Teacher","WRIGHT JR./SR. HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Mathematics Education","STEM"
